date_created,strike,maturity,time_to_maturity,option_price
2025-01-01,80.0,2025-01-31,0.11904761904761904,20.20950440201751
2025-01-01,80.0,2025-03-02,0.23809523809523808,20.833240980795246
2025-01-01,80.0,2025-05-01,0.47619047619047616,21.206517677322626
2025-01-01,85.0,2025-01-31,0.11904761904761904,15.073619046673954
2025-01-01,85.0,2025-03-02,0.23809523809523808,15.749450936720287
2025-01-01,85.0,2025-05-01,0.47619047619047616,16.979712902432297
2025-01-01,90.0,2025-01-31,0.11904761904761904,10.466999501752277
2025-01-01,90.0,2025-03-02,0.23809523809523808,11.109796998365761
2025-01-01,90.0,2025-05-01,0.47619047619047616,12.241926205954702
2025-01-01,95.0,2025-01-31,0.11904761904761904,5.910195299144869
2025-01-01,95.0,2025-03-02,0.23809523809523808,7.1587901943856025
2025-01-01,95.0,2025-05-01,0.47619047619047616,8.540469595201431
2025-01-01,100.0,2025-01-31,0.11904761904761904,2.8603761859021364
2025-01-01,100.0,2025-03-02,0.23809523809523808,4.061944112056123
2025-01-01,100.0,2025-05-01,0.47619047619047616,6.064765743458648
2025-01-01,105.0,2025-01-31,0.11904761904761904,1.1724887008546614
2025-01-01,105.0,2025-03-02,0.23809523809523808,2.1951175129856724
2025-01-01,105.0,2025-05-01,0.47619047619047616,3.902709234813315
2025-01-01,110.0,2025-01-31,0.11904761904761904,0.3119406831226595
2025-01-01,110.0,2025-03-02,0.23809523809523808,0.9393960595130788
2025-01-01,110.0,2025-05-01,0.47619047619047616,2.269902516569667
2025-01-01,115.0,2025-01-31,0.11904761904761904,0.09081125370470199
2025-01-01,115.0,2025-03-02,0.23809523809523808,0.4028229395684415
2025-01-01,115.0,2025-05-01,0.47619047619047616,1.3830609516451653
2025-01-01,120.0,2025-01-31,0.11904761904761904,0.006906185749254893
2025-01-01,120.0,2025-03-02,0.23809523809523808,0.1711343271840945
2025-01-01,120.0,2025-05-01,0.47619047619047616,0.6553033593443804
2025-01-02,80.0,2025-02-01,0.11904761904761904,18.880897297937075
2025-01-02,80.0,2025-03-03,0.23809523809523808,18.95716627206529
2025-01-02,80.0,2025-05-02,0.47619047619047616,19.302605279028658
